port,role,best_center_level,best_center_change,best_rim_down_level,best_rim_down_score,best_contrast_level,best_contrast_score,contrast_center_change,contrast_edge_mean_change,contrast_x_small_change,contrast_x_large_change,contrast_y_small_change,contrast_y_large_change,dominant_spatial_group,dominant_spatial_change
1,contrast_candidate,0.1,0.24721374170583807,0.3,0.13054547397512437,0.1,0.24262761839711705,0.24721374170583807,0.004586123308721008,8.448872654698292e-05,0.004586121856288761,-0.0607031403020437,0.07437702295409199,center,0.24721374170583807
2,rim_shape_candidate,0.3,0.012002208336824749,0.3,0.12108648534192225,0.3,0.13308869367874698,0.012002208336824749,-0.12108648534192225,-0.019882850442613995,-0.16668745002794527,-0.2683336221845545,-0.029442018712575235,y_small,-0.2683336221845545
3,weak_or_mixed,0.3,0.00872555492300453,0.1,0.030293811480913445,0.1,-0.000943634167937836,-0.03123744564885128,-0.030293811480913445,-0.0021202075359277317,-0.09604290127145723,-0.06030582573902332,0.037293688622754506,x_large,-0.09604290127145723
4,weak_or_mixed,0.2,0.00568312435528856,0.1,0.051844359463173506,0.1,0.040337933534031256,-0.01150642592914225,-0.051844359463173506,0.06512422346516947,-0.14741158008981997,-0.13599710777495,0.010907026546906479,x_large,-0.14741158008981997
5,weak_or_mixed,0.3,-0.008915360983033582,0.1,-0.08806056470521481,0.1,-0.12745041715531455,-0.03938985245009974,0.08806056470521481,0.1451870137355283,0.11990611926147743,0.05722243121307474,0.029926694610778765,x_small,0.1451870137355283
6,weak_or_mixed,0.3,0.024080153293412176,0.2,0.05612462206625512,0.2,-0.012337194375860096,-0.06846181644211521,-0.05612462206625512,0.015087957748951941,-0.09640805439121769,-0.19125644850898196,0.04807805688622724,y_small,-0.19125644850898196
7,rim_shape_candidate,0.3,0.030036571207585017,0.3,0.10892394758861045,0.3,0.13896051879619548,0.030036571207585017,-0.10892394758861045,-0.06558417624750496,-0.09310158617764508,-0.09266363920673648,-0.18434638872255527,y_large,-0.18434638872255527
8,center_up_candidate,0.1,0.2500823816457091,0.3,0.1961290728787175,0.1,0.3052399783743518,0.2500823816457091,-0.05515759672864266,0.05353191110778521,-0.07824998652694604,-0.06943063484870249,-0.12648167664670734,center,0.2500823816457091
9,rim_shape_candidate,0.1,-0.016037454771456516,0.3,0.6524671441103492,0.1,0.30590690382724595,-0.016037454771456516,-0.32194435859870246,-0.1380070812286236,-0.22341300484031906,-0.23924060479792347,-0.6871167435279437,y_large,-0.6871167435279437
10,rim_shape_candidate,0.1,-0.0778450923534938,0.2,0.27739203030689985,0.2,0.18608098176049204,-0.09131104854640781,-0.27739203030689985,0.11802997283283445,-0.5967518934032483,-0.7426514625948104,0.1118052619376248,y_small,-0.7426514625948104
11,center_up_candidate,0.3,0.3334254039141722,0.1,0.024187877999787083,0.3,0.23414099442344,0.3334254039141722,0.09928440949073221,-0.06658141487609592,0.3496306106681651,0.45279300772924236,-0.3387045655583827,y_small,0.45279300772924236
12,center_up_candidate,0.2,0.3922663099151687,0.2,0.09203953894955474,0.2,0.48430584886472344,0.3922663099151687,-0.09203953894955474,-0.12229214951197598,-0.2783736134231535,0.052661222682319514,-0.02015361554540901,center,0.3922663099151687
13,center_up_candidate,0.2,0.29934712290434173,0.3,0.1854472126842065,0.3,0.23461514764742958,0.04916793496322308,-0.1854472126842065,0.36662016083123766,-0.6773889994710574,-0.6676714254438126,0.23665141334680634,x_large,-0.6773889994710574
14,center_up_candidate,0.1,0.42682738446307544,0.3,-0.016991131257746823,0.1,0.2658579546779711,0.42682738446307544,0.16096942978510437,0.03011707254061896,0.14431288957085825,0.07401635359580674,0.3954314034331335,center,0.42682738446307544
15,weak_or_mixed,0.2,0.12359310799590714,0.3,-0.06428847400150633,0.2,0.03409782605825702,0.12359310799590714,0.08949528193765012,-0.011619155966566042,0.25044906711576753,0.31516370262934246,-0.19601248602794347,y_small,0.31516370262934246
16,contrast_candidate,0.2,0.10174012087325339,0.3,0.3057487649400749,0.3,0.40552886910674185,0.09978010416666692,-0.3057487649400749,0.011657037488022826,-0.9716575958083827,-0.3184251940547097,0.05543069261476993,x_large,-0.9716575958083827
